"District","Incumbent","Party","Biden","Trump","Margin"
"FL-13","Anna Paulina Luna","(R)","46.1","52.9","-6.8"
"FL-14","Kathy Castor","(D)","59.0","39.8","19.1"
"FL-15","Laurel Lee","(R)","47.9","51.0","-3.2"
"FL-16","Vern Buchanan","(R)","45.1","54.0","-8.9"
"FL-17","Greg Steube","(R)","41.6","57.6","-16.0"
"FL-18","Scott Franklin","(R)","38.1","60.9","-22.8"
"FL-19","Byron Donalds","(R)","39.1","60.2","-21.0"
"FL-20","Sheila Cherfilus-McCormick","(D)","75.9","23.5","52.4"
"FL-21","Brian Mast","(R)","45.0","54.4","-9.4"
"FL-22","Lois Frankel","(D)","58.5","40.9","17.6"
"FL-23","Jared Moskowitz","(D)","56.3","43.1","13.2"
"FL-24","Frederica Wilson","(D)","74.3","25.2","49.1"
"FL-25","Debbie Wasserman Schultz","(D)","59.7","39.7","19.9"
"FL-26","Mario Diaz-Balart","(R)","40.6","58.9","-18.3"
"FL-27","María Elvira Salazar","(R)","49.6","49.9","-0.3"
"FL-28","Carlos Giménez","(R)","46.5","52.9","-6.3"
"GA-01","Buddy Carter","(R)","42.6","56.0","-13.4"
"GA-02","Sanford Bishop","(D)","54.7","44.4","10.3"
"GA-03","Drew Ferguson","(R)","34.4","64.4","-30.1"
"GA-04","Hank Johnson","(D)","78.3","20.6","57.7"
"GA-05","Nikema Williams","(D)","82.6","16.2","66.5"
"GA-06","Rich McCormick","(R)","41.8","56.7","-14.9"
"GA-07","Lucy McBath","(D)","62.3","36.5","25.8"
"GA-08","Austin Scott","(R)","35.7","63.3","-27.6"
"GA-09","Andrew Clyde","(R)","30.4","68.3","-37.9"
"GA-10","Mike Collins","(R)","37.7","61.1","-23.4"
"GA-11","Barry Loudermilk","(R)","41.5","56.8","-15.3"
"GA-12","Rick Allen","(R)","44.3","54.5","-10.1"
"GA-13","David Scott","(D)","79.7","19.3","60.4"
"GA-14","Marjorie Taylor Greene","(R)","30.7","68.1","-37.4"
"HI-01","Ed Case","(D)","63.9","34.5","29.4"
"HI-02","Jill Tokuda","(D)","63.6","34.1","29.5"
"IA-01","Mariannette Miller-Meeks","(R)","47.6","50.5","-2.9"
"IA-02","Ashley Hinson","(R)","46.9","51.3","-4.4"
"IA-03","Zach Nunn","(R)","48.9","49.3","-0.3"
"IA-04","Randy Feenstra","(R)","36.2","62.2","-26.0"
"ID-01","Russ Fulcher","(R)","29.5","67.7","-38.2"
"ID-02","Mike Simpson","(R)","36.9","59.8","-22.9"
"IL-01","Jonathan Jackson","(D)","70.5","28.1","42.4"
"IL-02","Robin Kelly","(D)","69.3","29.3","40.0"
"IL-03","Delia Ramirez","(D)","69.7","28.3","41.4"
"IL-04","Chuy Garcia","(D)","72.3","25.9","46.4"
"IL-05","Mike Quigley","(D)","68.9","29.3","39.6"
"IL-06","Sean Casten","(D)","54.5","43.6","10.9"
"IL-07","Danny Davis","(D)","85.6","12.8","72.8"
"IL-08","Raja Krishnamoorthi","(D)","56.8","41.4","15.4"
"IL-09","Jan Schakowsky","(D)","69.9","28.4","41.6"
"IL-10","Brad Schneider","(D)","62.0","36.1","25.9"
"IL-11","Bill Foster","(D)","56.6","41.3","15.3"
"IL-12","Mike Bost","(R)","27.7","70.5","-42.8"
"IL-13","Nikki Budzinski","(D)","54.4","43.2","11.2"
"IL-14","Lauren Underwood","(D)","54.7","43.3","11.5"
"IL-15","Mary Miller","(R)","29.6","68.3","-38.7"
"IL-16","Darin LaHood","(R)","38.1","59.6","-21.5"
"IL-17","Eric Sorensen","(D)","52.7","44.9","7.8"
"IN-01","Frank Mrvan","(D)","53.4","45.0","8.4"
"IN-02","Rudy Yakym","(R)","37.8","60.4","-22.6"
"IN-03","Jim Banks","(R)","34.0","63.9","-29.9"
"IN-04","Jim Baird","(R)","34.3","63.4","-29.1"
"IN-05","Victoria Spartz","(R)","41.0","57.0","-15.9"
"IN-06","Greg Pence","(R)","33.0","64.9","-31.9"
"IN-07","André Carson","(D)","70.3","27.9","42.4"
"IN-08","Larry Bucshon","(R)","32.7","65.5","-32.8"
"IN-09","Erin Houchin","(R)","35.4","62.7","-27.3"
"KS-01","Tracey Mann","(R)","34.1","63.7","-29.6"
"KS-02","Jake LaTurner","(R)","40.7","57.0","-16.3"
"KS-03","Sharice Davids","(D)","51.2","46.7","4.5"
"KS-04","Ron Estes","(R)","38.0","59.7","-21.7"
"KY-01","James Comer","(R)","27.9","70.6","-42.7"
"KY-02","Brett Guthrie","(R)","30.8","67.5","-36.7"
"KY-03","Morgan McGarvey","(D)","60.2","37.9","22.3"
"KY-04","Thomas Massie","(R)","32.8","65.4","-32.5"
"KY-05","Hal Rogers","(R)","19.7","79.1","-59.4"
"KY-06","Andy Barr","(R)","43.5","54.5","-11.0"
"LA-01","Steve Scalise","(R)","29.6","68.5","-39.0"
"LA-02","Troy Carter","(D)","75.4","22.9","52.5"
"LA-03","Clay Higgins","(R)","30.3","68.0","-37.6"
"LA-04","Mike Johnson","(R)","37.2","61.3","-24.1"
"LA-05","Julia Letlow","(R)","34.4","64.1","-29.7"
"LA-06","Garret Graves","(R)","33.9","64.3","-30.4"
"MA-01","Richard Neal","(D)","59.8","38.2","21.7"
"MA-02","Jim McGovern","(D)","64.3","33.5","30.8"
"MA-03","Lori Trahan","(D)","62.7","35.3","27.4"
"MA-04","Jake Auchincloss","(D)","63.3","34.8","28.5"
"MA-05","Katherine Clark","(D)","74.8","23.6","51.1"
"MA-06","Seth Moulton","(D)","62.9","35.3","27.6"
"MA-07","Ayanna Pressley","(D)","85.5","13.1","72.4"
"MA-08","Stephen Lynch","(D)","66.9","31.4","35.5"
"MA-09","Bill Keating","(D)","58.2","40.0","18.2"
"MD-01","Andy Harris","(R)","41.7","56.3","-14.5"
"MD-02","Dutch Ruppersberger","(D)","59.4","38.6","20.8"
"MD-03","John Sarbanes","(D)","61.7","36.2","25.5"
"MD-04","Glenn Ivey","(D)","89.6","8.7","81.0"
"MD-05","Steny Hoyer","(D)","67.4","30.9","36.5"
"MD-06","David Trone","(D)","53.9","44.1","9.8"
"MD-07","Kweisi Mfume","(D)","81.0","17.5","63.5"
"MD-08","Jamie Raskin","(D)","80.5","17.9","62.6"
"ME-01","Chellie Pingree","(D)","60.0","37.2","22.8"
"ME-02","Jared Golden","(D)","45.5","51.6","-6.1"
"MI-01","Jack Bergman","(R)","39.3","59.1","-19.8"
"MI-02","John Moolenaar","(R)","35.0","63.2","-28.2"
"MI-03","Hillary Scholten","(D)","53.3","44.8","8.5"
"MI-04","Bill Huizenga","(R)","47.1","51.1","-3.9"
"MI-05","Tim Walberg","(R)","37.1","61.2","-24.2"
"MI-06","Debbie Dingell","(D)","62.7","36.0","26.7"
