Calculated by The Downballot,,,Subscribe to our newsletter,,,,,,,Follow @the-downballot.com on Bluesky,,,,,
District,Incumbent,Party,2024,,,,,,,2020,,,,,
,,,Harris,Trump,Total,Harris %,Trump %,Margin,,Biden,Trump,Total,Biden %,Trump %,Margin
MD-03,Sarah Elfreth,(D),"249,542","151,360","413,154",60.40%,36.64%,23.76%,,"255,249","149,743","413,425",61.74%,36.22%,25.52%
MD-04,Glenn Ivey,(D),"240,880","33,369","281,855",85.46%,11.84%,73.62%,,"271,589","26,247","302,947",89.65%,8.66%,80.99%
MD-05,Steny Hoyer,(D),"280,941","138,217","428,752",65.53%,32.24%,33.29%,,"280,898","128,846","416,761",67.40%,30.92%,36.48%
MD-06,April McClain Delaney,(D),"200,040","177,658","387,773",51.59%,45.81%,5.77%,,"200,375","163,848","371,676",53.91%,44.08%,9.83%
MD-07,Kweisi Mfume,(D),"236,171","58,128","302,076",78.18%,19.24%,58.94%,,"251,751","54,327","310,936",80.97%,17.47%,63.49%
MD-08,Jamie Raskin,(D),"296,254","78,619","385,512",76.85%,20.39%,56.45%,,"321,508","71,547","399,296",80.52%,17.92%,62.60%
ME-01,Chellie Pingree,(D),"258,863","165,214","433,356",59.73%,38.12%,21.61%,,"258,001","159,932","430,096",59.99%,37.19%,22.80%
ME-02,Jared Golden,(D),"176,789","212,763","397,438",44.48%,53.53%,-9.05%,,"177,070","200,803","389,278",45.49%,51.58%,-6.10%
MI-01,Jack Bergman,(R),"187,850","290,869","485,753",38.67%,59.88%,-21.21%,,"182,977","274,971","465,104",39.34%,59.12%,-19.78%
MI-02,John Moolenaar,(R),"151,066","283,908","441,509",34.22%,64.30%,-30.09%,,"145,196","262,155","414,538",35.03%,63.24%,-28.21%
MI-03,Hillary Scholten,(D),"226,857","193,356","427,349",53.08%,45.25%,7.84%,,"222,098","186,701","416,906",53.27%,44.78%,8.49%
MI-04,Bill Huizenga,(R),"201,773","225,809","434,160",46.47%,52.01%,-5.54%,,"196,696","213,155","417,516",47.11%,51.05%,-3.94%
